title,company,salary_from,salary_to,salary_currency,skills,experience,has_higher_education,requirements,responsibilities
Data Scientist (A/B Platform),Lamoda Tech,,,,,От 3 до 6 лет,True,,
Data Engineer,Группа НЛМК,,,,"PySpark, Apache Airflow, Hadoop, Apache Kafka",От 3 до 6 лет,False,,
Senior Data Scientist (NLP) в Автоматизацию коммуникаций,WILDBERRIES,,,,"Python, PyTorch, Deep Learning",От 3 до 6 лет,False,,
Senior / Expert Computer Vision Engineer,WILDBERRIES,,,,,Более 6 лет,False,,
"DS/ML инженер, Отдел разработки математических моделей и ERP систем, Ozon Fresh",Ozon,,,,"Python, Numpy, pandas, Apache Airflow, SQL, PostgreSQL, Hadoop, Apache Spark",От 3 до 6 лет,True,,
"Tech Lead Golang [Голосовая экосистема, МТС Веб Сервисы]",МТС,,,,"Golang, gRPC, PostgreSQL, Grafana, Микросервисная архитектура, DWH, ETL, Управление командой",Более 6 лет,False,,
Middle MLOps Engineer (Recommendation Systems),WILDBERRIES,,,,,От 3 до 6 лет,False,,
Data Engineer (Senior),HuntIT,,,,"Amazon Web Services, AWS, Apache Kafka, Debezium, Flink, Spark Structured Streaming, Clickhouse, S3, iceberg",От 3 до 6 лет,False,,
MLOps Engineer [Trust and Safety],WILDBERRIES,,,,,От 3 до 6 лет,False,,
AI-инженер,Среда Возможностей,,,,,От 3 до 6 лет,True,,
Senior Deep Learning Engineer (RecSys Team),Оператор Газпром ИД,,,,"Машинное обучение, Machine Learning, Deep Learning",Более 6 лет,False,,
Middle Research Engineer (AI Algorithms & Architectures),СБЕР,,,,,От 1 года до 3 лет,False,,
"ML-инженер (Middle), финтех",SkillStaff,,,,"Python, Scikit-learn, pandas, Docker, Kubernetes, MongoDB, FastAPI",От 1 года до 3 лет,False,,
Data Engineer,Газпромбанк,,,,,От 3 до 6 лет,False,,
ML-инженер,"ГРЧЦ, ФГУП",,,,"Docker, Python, Big Data, Kubernetes, pandas, SQL, MLflow",От 1 года до 3 лет,True,,
Data Scientist / ML - инженер,ИЦ АЙ-ТЕКО,,,,,От 3 до 6 лет,False,,
Computer Vision Engineer,"САТЕЛ, Группа компаний",,,,,От 3 до 6 лет,False,,
ML-engineer (Search Alignment),СБЕР,,,,,От 3 до 6 лет,False,,
Senior Data Scientist / Machine Learning (NLP) инженер в QuantumSoft,КвантумСофт,400000,700000,RUR,"Machine Learning, ML, AI, NLP, LLM, Deep Learning, Data Science, Data Scientist, Natural Language Processing Engineer",Более 6 лет,False,,
"Middle разработчик ML (LLM, VLM, RAG)",Корпорация ЭЛАР,,,,"LLM, RAG, REST API, Linux, Docker, Python, PyTorch",От 1 года до 3 лет,False,,
Software Engineer,Reveris,4000,10000,USD,"Английский язык, SQL, Docker, Python, Node.js, HTML, React, Golang, С#, Kotlin, Linux, JavaScript, TypeScript, Ruby, C++, Java, Android, iOS",Более 6 лет,False,,
MLops engineer,Napoleon IT,,,,"LLM, LLMOps, DevOps, MLops",От 3 до 6 лет,False,,
Python разработчик (LLM),СБЕР,,,,,От 3 до 6 лет,False,,
Руководитель платформы данных и аналитики / Data Platform and Insights Manager,Крупная FMCG компания,,,,,Более 6 лет,True,,
ML Engineer (recommendations),Звук,,,,"Python, NLP, Hadoop, Machine Learning, pandas, Numpy, Docker",От 1 года до 3 лет,False,,
Junior AI Automation Engineer / Prompt Engineer,Холдем,,,,"Python, JavaScript",От 1 года до 3 лет,False,,
Senior NLP Engineer (Центр практического искусственного интеллекта),СБЕР,,,,,Более 6 лет,False,,
Product Owner / Руководитель направления «Каталог данных»,Альфа-Банк,,,,,От 3 до 6 лет,False,,
Инженер сетевой безопасности,USETECH,,,,"NGFW, сетевая безопасность, Palo Alto, СЗИ",От 3 до 6 лет,False,,
AI Engineer,Холдем,,,,,От 3 до 6 лет,False,,
Data Scientist,Холдем,,,,,От 3 до 6 лет,False,,
Технолог данных (в отдел управления данными),Mediascope,,,,"SQL, PySpark, DWH, ETL, Apache Airflow, Spark",От 3 до 6 лет,False,,
Middle Research Engineer,СБЕР,,,,,От 3 до 6 лет,False,,
NLP Engineer,Атом,,,,"Machine Learning Engineer, Data Scientist, NLP Engineer, Voice Assistant, Natural Language Processing, LLM, Python, PyTorch",От 3 до 6 лет,False,,
Разработчик симулятора,Московский метрополитен,,,,,От 3 до 6 лет,False,,
Senior ML Engineer (TTS Text-to-speech),СБЕР,,,,,От 3 до 6 лет,False,,
R&D ML-инженер,Макошь,350000,600000,RUR,"Python, Machine Learning, Computer Vision, NLP, OCR, Docker, Linux, API, PostgreSQL, TensorFlow, PyTorch",От 3 до 6 лет,False,,
"ML-инженер (Classic ML, CVM)",СОГАЗ,,,,"MLflow, SQL, Data Analysis, Docker",От 1 года до 3 лет,False,,
MLOps-ижненер,Т-Банк,,,,,От 3 до 6 лет,False,,
Senior Site Reliability Engineer (SRE),Ventra,,,,"Kubernetes, Helm, Terraform, PostgreSQL, OpenSearch, Kafka, Prometheus, Grafana, Jenkins, Kotlin/Java",От 3 до 6 лет,False,,
Senior Deep Learning Engineer в Recsys Lab,WILDBERRIES,,,,"Python, PyTorch, Hadoop, Spark",Более 6 лет,False,,
AI Infrastructure Engineer/ Инженер инфраструктуры ИИ,Топассистент,450000,,RUR,"Linux, Docker, Unix, Bash, PowerShell, Azure, Kubernetes, Helm, CI/CD, Terraform, Ansible, GitHub, Python, Golang, MLflow",От 1 года до 3 лет,False,,
ML Engineer / Computer Vision Middle / Senior,Рубиру,,,,"ML Engineer, Computer Vision, API, Python, PyTorch, TensorFlow, OpenCV, torchvision, Numpy, Scikit-learn, CNN, ResNet, transformers, FastAPI, Flask, TorchScript, ONNX, Docker, Git, OCR-системы, Tesseract, PaddleOCR",От 3 до 6 лет,False,,
Data Scientist в команду Интегрированного бизнес-планирования,X5 Tech,,,,"Python, Big Data, Data Analysis",От 3 до 6 лет,False,,
Python разработчик (LLM),СБЕР,,,,"Python, PostgreSQL, SQL, Spark, Apache Airflow",От 3 до 6 лет,False,,
Архитектор по сетевым технологиям,Softline,,,,"LAN, WAN, VLAN, STP, BGP",Более 6 лет,False,,
Senior Mlops/DevOps,Альфа-Банк,,,,,От 3 до 6 лет,False,,
Middle ML Engineer (Computer Operator),СБЕР,,,,"NLP, LLM, PyTorch, Machine Learning, Transformers",От 3 до 6 лет,False,,
AI инженер (создание и внедрение AI-агентов),СБЕР,,,,,От 3 до 6 лет,False,,
Senior/Lead NLP/PLP Researcher (GigaCode R&D),СБЕР,,,,,От 3 до 6 лет,False,,
Senior/Lead ML Engineer [CICADA8],МТС,,,,,От 3 до 6 лет,False,,
Аналитик данных [Trust & Safety],WILDBERRIES,,,,,От 3 до 6 лет,True,,
ML engineer / Data scientist,STC,,,,,От 3 до 6 лет,False,,
"Java разработчик, Поисковая платформа",Ozon,,,,"IT, Разработка поисковых технологий, Java, Apache Kafka, Redis",От 3 до 6 лет,False,,
Middle специалист по Data Science и машинному обучению (ML/AI),ИК СИБИНТЕК,,,,"Python, Linux, pandas, Numpy, PyTorch, SQL, Jupyter Notebook, Docker",От 3 до 6 лет,False,,
Research Engineer (Kandinsky),СБЕР,,,,,От 3 до 6 лет,False,,
"Data Engineer, Антифрод",Ozon,,,,"IT, Торговая площадка",От 3 до 6 лет,False,,
"Senior Java Engineer (JavaSE, algorithms, optimization)",BrainShells,5000,,USD,"Java, Java SE, MySQL, Статистический анализ, Многопоточность, Алгоритмы и структуры данных",Более 6 лет,False,,
"Senior ML Developer [MWS Octapi, МТС Веб Сервисы]",МТС,,,,Python,Более 6 лет,False,,
Effective-DL Engineer (GigaChat),СБЕР,,,,,От 3 до 6 лет,False,,
ML Engineer / ML-инженер,Excdev,,,,,От 3 до 6 лет,True,,
Senior/Lead Data Engineer,Альфа-Банк,,,,,От 3 до 6 лет,False,,
Lead/Team Lead ML (NLP),Ростелеком Информационные Технологии,,,,,От 3 до 6 лет,False,,
"Senior ML Developer [OctAPI, МТС Веб Сервисы]",МТС,,,,Python,От 3 до 6 лет,False,,
Lead Data Engineer / Руководитель группы разработки MDM,СберЗдоровье,,,,,От 3 до 6 лет,False,,
Архитектор (Data/AI),СберЗдоровье,,,,,Более 6 лет,False,,
IT Recruiter/InfoSec Recruiter (Рекрутер),WILDBERRIES,,,,,От 3 до 6 лет,False,,
Tech Product Manager,Ambersoft,2000,3000,USD,,От 3 до 6 лет,False,,
Tabular & Time Series ML-engineer,СБЕР,,,,,От 3 до 6 лет,False,,
Разработчик Python + SQL,СберЛизинг,,,,,От 3 до 6 лет,False,,
FullStack TeamLead,СБЕР,,,,,Более 6 лет,False,,
Lead AI Engineer,ARK,,,,"ML, NLP, LLM, LangChain, Guidance, PromptLayer, REST API",От 3 до 6 лет,False,,
Tech Lead — LLM Evaluation,HeadHunter,,,,"machine learning, data science, genai, llm evaluation, benchmarks, human eval, mt-bench, langchain, oss models, prompt engineering, system design, Numpy, pandas, nlp, reasoning, a/b experiments",От 3 до 6 лет,False,,
Product Manager AI,Made of Storm,200000,350000,RUR,,От 3 до 6 лет,False,,
Инженер по машинному обучению (ML Engineer),The Skolkovo Institute of Science and Technology,,,,"Машинное обучение, ML, Английский язык, Python, Machine Learning, PyTorch, Математическая статистика, Нейрофизиология, Научные исследования",От 3 до 6 лет,False,,
LLMOps-инженер,Bell Integrator Регионы,,,,,От 3 до 6 лет,True,,
AI инженер (LLM),Kaiten,,,,"NLP, SQL, RAG, LangChain, AI-agents, VLM",Более 6 лет,False,,
Lead ML Engineer,Employcity,,,,"Python, Математическая статистика, LLM, ML, CI/CD, Diffusion, GAN, Transformers",Более 6 лет,False,,
Data science/engineer (риск-моделирование),банк Раунд,,,,"pandas, logregression, LightGBM, Python, ml, feature engineering",От 3 до 6 лет,False,,
R&D engineer,ИнфоТеКС,,,,"Телеметрия, Анализ трафика, Контроль телеметрии, ML, Wireshark, Кибербезопасность, Обнаружение аномалий",От 1 года до 3 лет,False,,
ML-инженер,AUXO (Атос АйТи Солюшенс энд Сервисез),,,,,От 3 до 6 лет,False,,
"Data Analyst ""Growth""",Okko,,,,"Python, SQL, A/B тесты",От 3 до 6 лет,False,,
Специалист по внедрению искусственного интеллекта,Русский Экспресс,,,,"ChatGPT, DeepSeek, OKR, Agile",От 1 года до 3 лет,False,,
Data Scientist (процессные и финансовые модели),Банк ВТБ (ПАО),,,,"Python, SQL",От 1 года до 3 лет,False,,
Team Lead AI Research,СБЕР,,,,,Более 6 лет,False,,
ML-инженер (Направление клиентского сервиса),WILDBERRIES,,,,,От 3 до 6 лет,False,,
Senior Product Manager в Поиск и рекомендации,HeadHunter,,,,"A/B тесты, Kanban, Умение принимать решения, ML, Product Management, Управление командой",От 3 до 6 лет,False,,
Senior Python разработчик (ML команда),СБЕР,,,,,Более 6 лет,False,,
DevOps-инженер,USETECH,,,,"Linux, Nginx, HAProxy, Docker-compose, Kubernetes, Git, Ansible, Helm, SQL, NoSQL, PostgreSQL, RabbitMQ, Apache Kafka, Prometheus, Zabbix, Grafana, ELK",От 3 до 6 лет,False,,
ML-инженер,СБЕР,,,,,От 3 до 6 лет,False,,
"Специалист по разработке AI-агентов (Dify, n8n)",Совкомбанк,,,,"Python, API, Базы данных",От 1 года до 3 лет,False,,
"Старший Data Scientist, Картиночный поиск",Ozon,,,,Data Science,От 1 года до 3 лет,False,,
Data Scientist,СБЕР,,,,,От 3 до 6 лет,False,,
Lead QA engineer,Группа Компаний Рикор,,,,,От 3 до 6 лет,False,,
"Senior Аналитик в команду ""Рекомендации""",Okko,,,,"SQL, Python, A/B тесты",От 3 до 6 лет,False,,
"Старший Go разработчик, ML платформа",Ozon,,,,"IT, Разработка платформы, Go, Golang, Kubernetes, Apache Airflow, Машинное обучение",Более 6 лет,False,,
Python-разработчик,Альфа-Банк,,,,"Python, FastAPI, Bash, Kubernetes, Apache Kafka",От 3 до 6 лет,True,,
Data Governance / Data Quality Engineer,Альфа-Банк,,,,"Data Governance, Python",От 3 до 6 лет,False,,
Systems Architect,Островок,,,,"Python, Golang",Более 6 лет,False,,
Senior MLOps,Электронная торговая площадка Газпромбанка,,,,,От 3 до 6 лет,False,,
AI Business Analyst,IT-hunters,,,,"Бизнес-анализ, Стратегическое планирование, Анализ бизнес-процессов, GenAI, Постановка задач разработчикам",От 3 до 6 лет,False,,
SRE инженер в Databases,Т-Банк,,,,"Docker, Kubernetes, Python, Golang, Ansible, Gitlab, OpenStack, Grafana, Prometheus, Zabbix, Clickhouse, Greenplum, Apache Cassandra",От 3 до 6 лет,False,,
ML Engineer (инженер по машинному обучению / NLP),ВИЗ,,200000,RUR,"Python, PostgreSQL, Big Data, Data Analysis, Machine Learning, Kafka, Clickhouse",От 1 года до 3 лет,False,,
DevOps Engineer (DataSoft),Ecom.tech,,,,"ETL, CI/CD, PostgreSQL, Ansible, Grafana, Prometheus",От 3 до 6 лет,False,,
Middle+ / Senior ML-инженер,Линсофтверпродакшн,220000,330000,RUR,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence",Более 6 лет,True,,
Ведущий инженер-программист OpenCV,НПО ПКРВ,,,,,От 3 до 6 лет,False,,
ML-инженер в команду внедрения LLM-агентов,Т-Банк,,,,"NLP, LLM, ЛЛМ",От 3 до 6 лет,False,,
ML-инженер в области Generative CV,Т-Банк,,,,"PyTorch, Python, Stable Diffusion, Computer Vision, Flux, LoRа, ControlNet, Generative CV, GenAI, Generative AI",От 3 до 6 лет,False,,
ML-инженер в Центр технологий искусственного интеллекта,Т-Банк,,,,"PyTorch, Python, Deep Learning, NLP, RecSys, Speech, LLM, Classical Ml",От 3 до 6 лет,False,,
"Стажёр-Data Engineer, команда MLOps, Ozon Tech",Ozon,,,,"IT, Разработка поисковых технологий",Нет опыта,False,,
Full-stack Software Engineer (R&D),Robusta,,,,"Python, Angular, JavaScript, REST API, CI/CD, React, Golang, Redux, PostgreSQL, Kafka, Less",Более 6 лет,False,,
Machine Learning Engineer в команду anti-DDoS,VK,,,,"Python, Алгоритмы и структуры данных, PyTorch, TensorFlow, Scikit-learn",От 3 до 6 лет,False,,
Machine Learning Engineer в AI VK,VK,,,,"Python, Алгоритмы и структуры данных",От 3 до 6 лет,False,,
NLP-инженер,Норникель,,,,"MLflow, Аналитическое мышление, llm, CustDev, NLP, AI, data science",От 3 до 6 лет,False,,
Team Lead NLP Engineer,Норникель,,,,"Аналитическое мышление, data science, llm, CustDev, NLP, ML, Python, Big Data, Обучение и развитие, Управление командой, Организаторские навыки",От 3 до 6 лет,False,,
Tech Lead Gen AI (MWS AI),МТС,,,,"Team management, Управление командой, Python, Архитектурные решения",Более 6 лет,False,,
Prompt-инженер,Точка Банк,,320000,RUR,,От 1 года до 3 лет,False,,
Продуктовый аналитик (GigaChat Data Alignment),СБЕР,,,,"Python, Продуктовые метрики, Tableau",От 3 до 6 лет,False,,
Разработчик систем машинного зрения (CV engineer),Норникель,,,,,От 1 года до 3 лет,False,,
ML-инженер,Корпорация Галактика,,,,,От 3 до 6 лет,False,,
Middle+/Senior ML Engineer (RecSys Team),Оператор Газпром ИД,,,,"Машинное обучение, Machine Learning, Deep Learning",От 3 до 6 лет,False,,
Инженер по машинному обучению,JSA Group,,,,,От 3 до 6 лет,False,,
ML engineer / Data Scientist,WILDBERRIES,,,,"Python, Docker, Apache Airflow, Clickhouse, Greenplum, Deep Learning, Reinforcement Learning, Machine Learning, PySpark, динамическое ценообразование",От 3 до 6 лет,False,,
Ведущий Data Engineer,VK,,,,"PostgreSQL, Clickhouse, Hadoop, S3, DWH, OLAP, ETL, ELT, SQL, NoSQL, trino, dbt, Data Governance, Data Catalog, OpenMetadata, DataHub, Atlas, DataOps, Kubernetes, BI, Data Mesh, Data Fabric, ML",Более 6 лет,False,,
Senior ML engineer (GigaCode),СБЕР,,,,,Более 6 лет,False,,
Senior Deep Learning Research Engineer (Kandinsky),СБЕР,,,,,Более 6 лет,False,,
DevOps/MLOps инженер,"МАГНИТ, Розничная сеть",,,,"Docker, Kubernetes, Terraform, Grafana, Prometheus, CI/CD",От 3 до 6 лет,False,,
Руководитель проектов по компьютерному моделированию,Норникель,,,,"металлы платиновой группы, Методы исследования химического состава, схемы синтеза, наноматериалы, ORCA, VASP, LAMMPS, Desmond (Shroedinger), LiveDesign Materials Science, Gaussian, Thermo-Calc, Деловая коммуникация, Анализ данных, Английский язык, Материаловедение, катализатор, катализаторы, сплав",Более 6 лет,True,,
Ведущий DevOps-инженер,Gotcha!,,350000,RUR,"DevOps, Gitlab, Docker, Kubernetes",Более 6 лет,False,,
Бизнес-аналитик (AI/ML),Цифровые технологии и платформы,,,,,От 3 до 6 лет,False,,
Senior Backend Engineer (Python) / ML Specialist,"Wakie, Inc.",,,,"Python, MongoDB, REST API, PyTorch, TensorFlow, Машинное обучение, Linux, Bash, SQL, DevOps",Более 6 лет,False,,
ML-engineer (GigaChat Data),СБЕР,,,,,От 3 до 6 лет,False,,
DevOps-инженер,РСХБ-Интех,,,,"CI/CD, Linux, Docker, Kubernetes, Go, Python, Ansible, Git",От 1 года до 3 лет,False,,
Инженер по внедрению AI и разработке чат-ботов,ИЦ АЙ-ТЕКО,,250000,RUR,"Python, NLP, MLE, MLOps, API, CI/CD, LLM",Более 6 лет,False,,
Разработчик AL решений,ИЦ АЙ-ТЕКО,,220000,RUR,SQL,Более 6 лет,True,,
ML Engineer в Почту,VK,,,,,От 3 до 6 лет,False,,
Автор на дисциплину «MLOPs»,Нетология,,,,"Python, MS SQL",От 1 года до 3 лет,True,,
Store automation team lead,Ventra,,,,,От 3 до 6 лет,False,,
Middle/Senior DevOps-инженер,"Лента, федеральная розничная сеть",,,,,От 3 до 6 лет,False,,
Senior NLP/ML Engineer,Перспектива,300000,400000,RUR,"Python, Docker, function calling, structured output, tools, agents, memory, multi-agent системами, архитектура современных LLM-фреймворков: LangChain, LangGraph, LlamaIndex;а, NLP, ML",От 3 до 6 лет,False,,
"Middle Data Scientist в Golden Record [Big Data, МТС Веб Сервисы]",МТС,,,,"Python, SQL, pandas, CatBoost",От 1 года до 3 лет,False,,
Senior Data Scientist NLP | RND TeamLead в LegaTech,СБЕР,,,,,От 3 до 6 лет,False,,
Senior Computer Vision engineer,Эвокарго,,,,"C++, Python, PyTorch, Deep Learning, Computer Vision, Data Science",От 3 до 6 лет,False,,
Pre middle NLP/ML Engineer,Перспектива,100000,200000,RUR,"Python, LangChain, Docker, BERT, GPT, Опыт создания AI-агентов, MLflow",От 1 года до 3 лет,True,,
Senior ML-инженер по генеративному ИИ\Diffusion (MWS AI),МТС,,,,PyTorch,От 3 до 6 лет,False,,
"Senior ML-инженер (search engine, NLP)",Оператор Газпром ИД,,,,"NLP, Python, Машинное обучение, Deep Learning, Machine Learning",От 3 до 6 лет,False,,
Data Engineer (Операционные риски),СБЕР,,,,,От 1 года до 3 лет,True,,
Инженер по автоматизации (Python),YADRO,,,,"Python, FastAPI, API, pandas, Numpy, Apache Kafka, RabbitMQ, Linux, Docker, Pytest",От 3 до 6 лет,False,,
MLOps-инженер,Точка Банк,,550000,RUR,,От 3 до 6 лет,False,,
Senior ML Engineer (GigaPlatform Audio),СБЕР,,,,,От 3 до 6 лет,False,,
ML engineer (Kandinsky),СБЕР,,,,,От 1 года до 3 лет,False,,
Technical Project Manager,ICVR,,,,,Более 6 лет,False,,
Senior Data Scientist (A/B Platform),Lamoda Tech,,,,"Hadoop, Apache Hive, Apache Spark, Apache Airflow, SQL, Python, A/B тесты",От 3 до 6 лет,True,,
Специалист по внедрению искусственного интеллекта,КОМИТАС,,,,,От 1 года до 3 лет,True,,
ML-инженер,Центральный банк Российской Федерации (Банк России),,,,"SQL, Python, Gitlab, GitLab CI, Prometheus, PostgreSQL, Kafka",От 3 до 6 лет,False,,
"Технический писатель, Платформа, Команда разработки ITC",Ozon,,,,"IT, Разработка платформы",От 3 до 6 лет,False,,
Технический менеджер проектов YTsaurus (разработка ML Platform),Яндекс,,,,"ML, Управление проектами",Более 6 лет,False,,
Senior/Lead NLP/PLP Researcher (GigaCode R&D),СБЕР,,,,,От 3 до 6 лет,False,,
ML engineer (Kandinsky),СБЕР,,,,,От 3 до 6 лет,False,,
ML-инженер команда TTS,СБЕР,,,,,От 3 до 6 лет,False,,
AI/LLM инженер,ALP GROUP,,,,"Английский язык, AI, LLM, ML, Machine Learning, GPT, TensorFlow, STT, TTS, ИИ, RAG, Retrieval-Augmented Generation, Keras, PyTorch, Scikit-learn",От 3 до 6 лет,True,,
MLOps Инженер (Лаборатория ИИ),РСХБ-Интех,,,,"Python, Docker, FastAPI, MLflow, Apache Kafka",От 3 до 6 лет,False,,
Инженер машинного обучения (MLE/MLOps) в Балансировку спроса-предложения,WILDBERRIES,,,,"Python, PySpark, Apache Airflow, MLflow, Docker, Kubernetes",От 3 до 6 лет,False,,
ML-инженер GenOps,МегаФон,,,,,От 3 до 6 лет,False,,
Координатор образовательных курсов ML,Т-Банк,,,,,От 1 года до 3 лет,False,,
Системный Архитектор AI/ML,Rubytech,,,,,Более 6 лет,False,,
Data Scientist в команду страхования и инвестиционного бизнеса,СК Сбербанк страхование жизни,,,,,От 3 до 6 лет,False,,
Data Scientist страхования и инвестиционного бизнеса,СК Сбербанк страхование жизни,,,,,От 3 до 6 лет,False,,
Дата-инженер AI/ML,Rubytech,,,,"Датаинженер, Arenadata DB",От 3 до 6 лет,False,,
Security Engineer,Т-Банк,,,,"Аудит информационной безопасности, ИТ-инфраструктура, Администрирование серверов, Администрирование сетевого оборудования",От 3 до 6 лет,True,,
Product/Продакт-менеджер в Trust&Safety,HeadHunter,,,,,От 3 до 6 лет,False,,
DevOps-инженер,ГБУЗ «Научно-практический клинический центр диагностики и телемедицинских технологий ДЗМ»,,,,,От 1 года до 3 лет,False,,
"Senior ML Engineer [ID KYC, МТС Веб Сервисы]",МТС,,,,"Python, Docker, Linux, MLflow",От 3 до 6 лет,False,,
"Старший Python-разработчик, ML платформа",Ozon,,,,"IT, Разработка платформы, Python, ML",От 3 до 6 лет,False,,
Deep Learning Lead в команду ML Planning,Navio (ООО Автотех),,,,,От 3 до 6 лет,False,,
Deep Learning Engineer (Middle),Navio (ООО Автотех),,,,,От 1 года до 3 лет,False,,
Senior DL Engineer (diffusion models),Navio (ООО Автотех),,,,,От 3 до 6 лет,False,,
Senior ML-инженер,Spice IT,,,,"А/В тест, Python, PyTorch, Scikit-learn, PostgreSQL, MongoDB, Clickhouse, Redis, Английский язык",От 3 до 6 лет,True,,
Ведущий ML инженер,СБЕР,,,,,От 3 до 6 лет,False,,
Runtime Security Engineer,Т-Банк,,,,"Container security, Linux, Kubernetes, OpenStack, Golang, Информационная безопасность, Zero Trust, CI/CD",От 3 до 6 лет,False,,
DevOps Engineer,Vortex,,,,,От 3 до 6 лет,False,,
R&D AI Engineer,DSSL,,,,"Linux, Python, PyTorch, OpenCV, MLflow",Более 6 лет,False,,
Разработчик AI решений,ИЦ АЙ-ТЕКО,,,,,От 1 года до 3 лет,False,,
Data Engineer,Компания БКС,,,,,От 1 года до 3 лет,False,,
"Middle Data Scientist, RecSys, Ozon Банк",Ozon,,,,Data Science,От 1 года до 3 лет,False,,
"Senior Data Scientist, RecSys, Ozon Банк",Ozon,,,,Data Science,От 3 до 6 лет,False,,
DevOps-инженер,Смарт Мил Сервис,200000,230000,RUR,"DevOps, Docker, Zabbix, Gitlab, Prometheus, Git, CI/CD, Kubernetes, Linux, Windows, ASP.NET, C#, WPF, React, Python, GitLab CI",От 3 до 6 лет,False,,
Senior/Lead Data Scientist (Computer Vision),НТехЛаб,,,,,От 3 до 6 лет,False,,
Cloud engineer/MLOps/DevOps (MWS AI),МТС,,,,,Более 6 лет,False,,
Senior NLP engineer (ООО «МВС ИИ»),МТС,,,,Python,Более 6 лет,True,,
Разработчик AI решений,ИЦ АЙ-ТЕКО,,,,,От 1 года до 3 лет,False,,
Data Scientist (Управление моделирования и исследования данных),СБЕР,,,,,Более 6 лет,False,,
ML инженер (Развитие агентности в Core LLM),СБЕР,,,,,От 3 до 6 лет,False,,
Аналитик качества пользовательского опыта,Okko,,,,"SQL, Python, A/B тесты",От 1 года до 3 лет,False,,
Senior ML Platform Engineer,РУСАЛ,,,,,Более 6 лет,False,,
Разработчик Ai решений,ИЦ АЙ-ТЕКО,,,,,От 3 до 6 лет,False,,
Middle+ ML Backend Engineer,Специализированный депозитарий ИНФИНИТУМ,,,,,От 1 года до 3 лет,False,,
Senior Computer Vision Engineer (Stable Diffusion/GAN) AI beautification App Startup,Лао Оливарес Кристина Вячеславовна,8000,,USD,"Machine Learning, Computer Vision, CV, GAN, diffusion, stable diffusion, transformers, OpenCV, Scikit-Image, FFmpeg, Python, PyTorch, image to image, img2img",От 3 до 6 лет,True,,
Инженер по работе с данными (Data Scientist) / ML-инженер,БПМСОФТ,,,,,От 1 года до 3 лет,False,,
ML-engineer (GigaChat Data),СБЕР,,,,,От 1 года до 3 лет,False,,
ML-инженер / MLops для направления AI-контроля качества данных,Альфа-Банк,,,,,От 3 до 6 лет,False,,
ML-инженер,ГКУ Инфогород,,,,,От 1 года до 3 лет,False,,
Data Scientist в команду маркетингового оптимизатора,Газпромбанк,,,,,От 3 до 6 лет,True,,
Маркетинговый аналитик,DENUM GROUP,,,,"Power BI, Tableau, Redash, SQL, Продуктовые метрики, MS Excel, A/B тесты, Python",От 3 до 6 лет,True,,
Data Scientist в команду антифрода,АВИТО ТЕХ,,,,,Более 6 лет,False,,
Ведущий инженер по разработке ML-моделей,T2,,,,"Hadoop, PySpark, Spark, ML Flow, Airflow, Python, SQL",Более 6 лет,True,,
Технический Лидер по развитию Надежности,Cloud.ru,,,,,От 3 до 6 лет,False,,
Аналитик данных,ГКУ Инфогород,,,,,От 1 года до 3 лет,True,,
Senior Deep Learning Research Engineer (Kandinsky),СБЕР,,,,,От 3 до 6 лет,False,,
Middle MLops specialist,Электронная торговая площадка Газпромбанка,,,,,От 3 до 6 лет,False,,
Middle Software Engineer,Глазков Алексей Михайлович,2000,2500,USD,"Git, SQL, Python, TypeScript, PHP, REST",От 1 года до 3 лет,False,,
TeamLead AI-HUB-a,СБЕР,,,,,От 3 до 6 лет,False,,
MLOps инженер (Ozon Банк),Ozon,,,,"Python, Финансы, IT, Kafka, Kubernetes, MLOps, Apache Airflow, MLflow, Hadoop, Prometheus, Data engineer",От 3 до 6 лет,False,,
ML инженер с опытом создания 3D моделей в строительстве,Napoleon IT,,,,"Docker, Kubernetes, Terraform, DevOps, Docker-compose, CI/CD",Более 6 лет,False,,
Data Science,Скала^р,,,,,От 3 до 6 лет,False,,
Архитектор по работе с партнёрами в Yandex Cloud,Яндекс,,,,,Более 6 лет,False,,
Technical Product Owner (команда GigaCode),СБЕР,,,,,От 3 до 6 лет,False,,
TeamLead AI-HUB-a,СБЕР,,,,,Более 6 лет,False,,
Junior Devops в AI-Hub,СБЕР,,,,,От 1 года до 3 лет,False,,
Data Scientist / ML Engineer,РБ,250000,300000,RUR,,От 3 до 6 лет,False,,
LLMops-ижненер,ГК Орбита,,,,,От 3 до 6 лет,True,,
Application Security Engineer,Т-Банк,,,,"Application Security, OWASP, Pentest",От 3 до 6 лет,False,,
ML Engineer,ITFB Group,,,,,От 1 года до 3 лет,False,,
DevOps (Инженер ПО),USETECH,,,,,От 3 до 6 лет,True,,
Главный системный администратор РЦОД,USETECH,,,,,От 3 до 6 лет,False,,
Lead ML Engineer (AI Tech Lead),Джемини Софт,,,,,Более 6 лет,False,,
LLMOps-инженер,ГК Орбита,,,,,От 3 до 6 лет,True,,
"Data Scientist (NLP, RAG)",БФТ-Холдинг,,,,"Python, SQL, Apache Airflow",От 3 до 6 лет,False,,
